Unnamed: 0,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
358,150.0,150.0,1.0888888888888888,5501.069935192771,3.8026733181359,521.1070432695427,0.1112834774851114,0.2007505711121118,5.760858129006734,13.8072189772944,6.4058116123054605,217240.28000745003,600.0,3593.36781856093,1211.303886878467,277.0635193773695,285.4251307961731,954.9046013638329,398.5000165898441,858.7623658218896,296.7231434950618,296.75446945814986,296.7231434950618,610.872529155358,0.027197275559213,1081.6727731614646
359,150.0,160.0,1.0263888888888888,5139.384089553195,3.7194798040451302,567.8431451667674,0.0956641079681266,0.2008911543331528,5.822366443928876,13.078284974376336,6.482393570274601,235412.4465804961,600.0,3370.613910733905,1122.518384167763,266.6276364278004,264.8173636383283,882.6967761385334,393.0770939290233,792.8219775362213,289.75367694120166,289.8043300826394,289.75367694120166,573.0043648247638,0.027062559069378,1171.6102985418445
360,150.0,170.0,0.9712418300653596,5629.3586772937415,3.8297228627741617,569.2706438452665,0.092767845919513,0.2067722414882817,5.738032076078957,12.616416407645,6.377443432059042,211300.3164258672,600.0,3672.622933315309,1242.8462562503396,280.7823903153514,292.7812389802948,981.0608589592484,446.3364317006265,882.6983315908814,299.3687857759641,299.4362696590389,299.3687857759641,624.3458986636025,0.0269860281090367,1398.2391235599998
361,150.0,180.0,0.9222222222222224,7222.124105854621,4.150253702011537,533.6985431373622,0.0981808987176153,0.2154885199201121,5.514983973790114,12.40702829458889,6.101700689679012,138688.7566079545,600.0,4639.727754739236,1642.299287433341,326.5122432843023,385.99421422119855,1309.545801071711,582.2959368510861,1183.6247749862262,327.0377948992216,327.11690471747465,327.0377948992216,788.75371830567,0.0269620274202689,1839.3178739518607
362,150.0,190.0,0.8783625730994151,7865.537611587634,4.265682224764777,530.8373353446457,0.0968563180596622,0.2224857239439711,5.439865489072249,12.047243529982245,6.0094264091899054,112799.11588235396,600.0,5025.117672691532,1806.7711490749064,344.942332952083,424.5622531304755,1445.9066363659435,653.1472398992481,1308.8666165475083,337.158182192289,337.25821262993753,337.158182192289,854.2700043575604,0.0268963723416565,2159.67227179145
363,150.0,200.0,0.8388888888888889,10000.0,4.609990594928347,490.64098460094624,0.1056706953270197,0.2344545866408216,5.235456790181001,12.016647400895572,5.759818089038197,29825.792142376293,600.0,6247.148278845589,2363.686283765423,406.0394311795605,555.8274600028927,1910.0530098452557,832.5167171828632,1736.1659422945158,367.0136452482042,367.1275274564294,367.0136452482042,1062.01520740375,0.0268778444277292,2792.9582875782853
364,150.0,210.0,0.8031746031746031,6461.246409969183,4.645521699858207,415.23407677168274,0.0924873506845354,0.2885205832209778,6.40709066688101,12.592380878599675,7.220795893416104,4.712073179184214e-09,600.0,3654.9615676247186,1570.2492935215607,294.99041508185894,341.04520238558734,1008.4524702246076,513.561367815014,894.8108359994671,233.5229712038679,233.70712830448556,233.5229712038679,621.3434664962022,0.022896547515751,2663.7135563384236
365,150.0,220.0,0.7707070707070707,6753.210944954694,4.056152825001675,518.4953086381107,0.1066601831296078,0.2772679034504154,5.5679277508745075,11.99999982333486,6.166913827481498,9.188071086740287e-05,600.0,3958.81693601838,1523.028102762726,313.1699529415507,358.20553867469164,1212.8768991109887,563.1990306310165,1095.0713977647122,320.15772573241054,320.3725263630524,320.15772573241054,672.9988791231245,0.0266300939617766,2592.1290757204147
366,150.0,230.0,0.7410628019323672,5546.875082399443,3.6419798426852257,548.4094409219917,0.1205072521410947,0.3051655821423235,5.521509722826035,11.9999999424833,6.1097307689009535,5.350656368368756e-05,600.0,3175.905076780798,1201.7870557724368,281.14141173317034,288.04885293112767,1004.5939173970024,462.68545580718353,907.8755336705682,326.1787018489846,326.46209512134135,326.1787018489846,539.9038630527357,0.0278448794419039,2388.2843521107648
367,150.0,240.0,0.7138888888888889,4803.652351624191,3.7056778474452408,482.1850581175541,0.1260054177566218,0.3557861270916038,5.980496603942923,11.9999750152126,6.6802175293429835,3.685037980938515e-06,600.0,2652.2822555807666,1049.492990864419,256.01110073831677,245.86792408596384,803.2196437428221,400.8675767463528,719.0862169568666,272.8465939122639,273.2037756971856,272.8465939122639,450.88798344873027,0.025819122524066,2496.371571312622
